ID,SN_AFE,SN_SiPM,M/S,U_set_a,U_set_b,U_measured_a ,U_measured_b ,I_measured_a,I_measured_b,T_measured_a,T_measured_b
32,,,M,-259.848,16521.54,0.0184781,-1.635,2.412600E-09,1.060E-07,0.08057,6
32,,,S,-259.6294,16585.79,0.0184407,-1.623,2.429700E-09,5.900E-08,0.08057,6
34,,,M,-259.137,16439.47,0.0184015,-1.705,2.425600E-09,5.000E-08,0.08057,6
34,,,S,-258.374,16537.9,0.0183964,-1.619,2.446800E-09,7.000E-09,0.08057,6
35,,,M,-258.026,16462.59,0.0184305,-1.682,2.424300E-09,7.000E-08,0.08057,6
35,,,S,-260.156,16541.05,0.018431,-1.622,2.418500E-09,7.600E-08,0.08057,6
36,,,M,-259.68,16506.33,0.0183569,-1.775,2.425900E-09,4.000E-08,0.08057,6
36,,,S,-260.141,16475.48,0.0184,-1.672,2.430000E-09,8.600E-08,0.08057,6
15,,,M,-259.6153,16416.93,0.0184353,-1.668,2.425000E-09,7.000E-08,0.08057,6
15,,,S,-260.037,16532.82,0.0183981,-1.633,2.414700E-09,7.000E-08,0.08057,6
17,,,M,-259.02,16471.26,0.0185293,-1.688,2.422100E-09,7.700E-08,0.08057,6
17,,,S,-259.521,16445.62,0.0184359,-1.687,2.446300E-09,2.700E-08,0.08057,6
1,,,M,-260.402,16593.85,0.0182541,-1.577,2.405470E-09,6.270E-08,0.08057,6
1,,,S,-258.732,16621.75,0.018432,-1.628,2.451400E-09,6.740E-08,0.08057,6
47,,,M,-262.165,16741.11,0.0183742,-1.7836,2.423101E-09,6.866E-08,0.08057,6
47,,,S,-260.3406,16673.63,0.0183053,-1.6424,2.428455E-09,5.974E-08,0.08057,6
45,,,M,-260.095,16567.08,0.0184166,-1.7871,2.437163E-09,8.619E-08,0.08057,6
45,,,S,-257.9177,16399.91,0.0184636,-1.7612,2.429488E-09,5.822E-08,0.08057,6
25,,,M,-259.574,16489.48,0.0184635,-1.7934,2.448204E-09,4.968E-08,0.08057,6
25,,,S,-259.3658,16441,0.0185027,-1.7609,2.450503E-09,7.620E-08,0.08057,6
46,,,M,-258.98,16500.08,0.0184663,-1.7348,2.450090E-09,4.552E-08,0.08057,6
46,,,S,-259.575,16578.92,0.0184904,-1.6852,2.437110E-09,6.327E-08,0.08057,6
23,,,M,-259.419,16535.92,0.0184117,-1.7892,2.422421E-09,4.394E-08,0.08057,6
23,,,S,-260.6491,16540.67,0.018407,-1.7767,2.434358E-09,4.993E-08,0.08057,6
24,,,M,-260.1145,16564.33,0.0183801,-1.692,2.421931E-09,6.719E-08,0.08057,6
24,,,S,-258.3466,16567.2,0.0184094,-1.7421,2.426725E-09,7.916E-08,0.08057,6
22,,,M,-258.8835,16509.15,0.0185071,-1.7068,2.440131E-09,7.143E-08,0.08057,6
22,,,S,-258.443,16432.12,0.0184811,-1.7786,2.436671E-09,8.174E-08,0.08057,6
21,,,M,-258.9659,16383.07,0.0184844,-1.7118,2.434187E-09,4.357E-08,0.08057,6
21,,,S,-258.012,16431.67,0.0185246,-1.659,2.441921E-09,7.307E-08,0.08057,6
26,,,M,-259.361,16490.79,0.0185098,-1.7938,2.439086E-09,2.935E-08,0.08057,6
26,,,S,-258.3266,16452.44,0.0184214,-1.777,2.429204E-09,4.501E-08,0.08057,6
27,,,M,-261.919,16665.52,0.0183778,-1.6627,2.435139E-09,6.771E-08,0.08057,6
27,,,S,-259.192,16499.26,0.0183807,-1.6965,2.435447E-09,7.453E-08,0.08057,6
28,,,M,-259.886,16559.62,0.0184119,-1.7116,2.428034E-09,3.958E-08,0.08057,6
28,,,S,-261.9586,16606.07,0.0185137,-1.8024,2.440570E-09,6.048E-08,0.08057,6
41,,,M,-260.0831,16505.23,0.0183634,-1.716,2.434642E-09,4.810E-08,0.08057,6
41,,,S,-260.366,16585.18,0.0183636,-1.6918,2.433017E-09,6.396E-08,0.08057,6
42,,,M,-258.096,16407.55,0.0184043,-1.7811,2.436230E-09,6.002E-08,0.08057,6
42,,,S,-258.6063,16490.41,0.018449,-1.6489,2.435898E-09,8.576E-08,0.08057,6
43,,,M,-261.056,16613.37,0.0183505,-1.6135,2.419370E-09,7.657E-08,0.08057,6
43,,,S,-262.144,16739.1,0.0182637,-1.6411,2.409440E-09,9.074E-08,0.08057,6
44,,,M,-259.4707,16535.44,0.0184209,-1.706,2.439983E-09,4.871E-08,0.08057,6
44,,,S,-258.4811,16491.81,0.0183756,-1.757,2.444380E-09,5.169E-08,0.08057,6
12,,,M,-259.64,16538.59,0.0184127,-1.5977,2.426730E-09,6.472E-08,0.08057,6
12,,,S,-259.9574,16616.88,0.0184479,-1.58001,2.427748E-09,8.000E-08,0.08057,6
